INIP,0,,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
MIR1246,1,,1,1,,1,1,1,1,,1,1,1,1,1,1,1,1,1,1
BANK1,0,,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
OR2V2,1,,1,0,,1,0,0,0,,1,1,0,1,1,0,1,1,0,1
MIR489,1,,1,1,,1,1,1,1,,1,1,1,1,1,1,1,1,1,1
SFTA2,1,,1,1,,1,1,1,1,,1,1,1,1,1,1,1,1,1,1
GRM2,0,,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
PROSC,0,,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
IPO9,0,,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
FLJ26850,0,,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
EVC,0,,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
CXCL13,1,,1,1,,1,1,1,1,,1,1,1,1,1,1,1,1,1,1
SORL1,0,,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
CHD1,0,,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
NAT10,0,,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
SYN3,0,,0,0,,0,0,0,0,,0,0,0,0,1,0,0,0,1,0
SLC22A2,1,,1,1,,1,1,1,1,,1,1,1,1,1,1,1,1,1,1
SERPINF1,1,,1,1,,1,1,1,1,,1,1,1,1,1,1,1,1,1,1
WDR34,1,,1,1,,1,1,1,1,,1,1,1,1,1,1,1,1,1,1
OR7A17,1,,1,1,,1,1,1,1,,1,1,1,1,1,1,1,1,1,1
POTED,1,,1,1,,1,1,1,1,,1,1,1,1,1,1,1,1,1,1
EPT1,0,,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
LHB,0,,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
TAOK3,0,,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
STK25,0,,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
AK021537,1,,1,1,,1,1,1,1,,1,1,1,1,1,1,1,1,1,1
CDC25B,0,,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
BMP3,0,,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
TMEM180,0,,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
MIR564,0,,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
CRYGC,1,,1,1,,1,1,1,1,,1,1,1,1,1,1,1,1,1,1
BX537921,1,,1,1,,1,1,1,1,,1,1,1,1,1,1,1,1,1,1
POU3F1,0,,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
HIGD1B,1,,1,1,,1,1,1,1,,1,1,1,1,1,1,1,1,1,1
DQ597986,1,,1,1,,1,1,1,1,,1,1,1,1,1,1,1,1,1,1
USP6NL,0,,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
ABCD4,0,,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
C11orf93,0,,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
DQ601664,1,,1,1,,1,1,1,1,,1,1,1,1,1,1,1,1,1,1
TEK,1,,1,1,,1,1,1,1,,1,1,1,1,1,1,1,1,1,1
SLC25A46,0,,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
LARP7,0,,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
CD160,1,,1,1,,1,1,1,1,,1,1,1,1,1,1,1,1,1,1
PHF20,1,,1,1,,1,1,1,1,,1,1,1,1,1,1,1,1,1,1
HNF1A-AS1,0,,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
GTPBP1,0,,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
